# This files defines what packets are understood by the game
# Format: (last line tells who can send the packet)
# packet Hex_id PACKET_NAME class.path.full all/client/server

#Leave this one alone for proper login/serverlist protocol things
packet 0x00 PACKET_UTF_TEXT io.xol.chunkstories.net.packets.PacketText all

#You can theorically mess with those with your mods.
packet 0x01 PACKET_WORLD_INFO io.xol.chunkstories.net.packets.PacketWorldInfo server
packet 0x02 PACKET_CHUNK_DATA io.xol.chunkstories.net.packets.PacketChunkCompressedData server
packet 0x03 PACKET_CHUNK_SUMMARY io.xol.chunkstories.net.packets.PacketChunkSummary server
packet 0x04 PACKET_ENTITY io.xol.chunkstories.net.packets.PacketEntity all
#packet 0x05 PACKET_SERIALIZED_INVENTORY io.xol.chunkstories.net.packets.PacketSerializedInventory server
packet 0x06 PACKET_MOVE_ITEM io.xol.chunkstories.net.packets.PacketInventoryMoveItemPile client
packet 0x07 PACKET_USE_ITEM io.xol.chunkstories.net.packets.PacketItemUsage client
packet 0x08 PACKET_TIME io.xol.chunkstories.net.packets.PacketTime server
packet 0x09 PACKET_VOXEL io.xol.chunkstories.net.packets.PacketVoxelUpdate server
packet 0x10 PACKET_INPUT io.xol.chunkstories.net.packets.PacketInput client

#Or be sensible and add your own ones after The game has an hardlimit of arround 32768 packet types possible
